GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
courses,edu.ucsb.cs156.spooler.controllers,SystemInfoController,0,7,0,0,0,2,0,2,0,2
courses,edu.ucsb.cs156.spooler.controllers,ApiController,0,29,0,0,0,9,0,5,0,5
courses,edu.ucsb.cs156.spooler.controllers,CSRFController,0,5,0,0,0,2,0,2,0,2
courses,edu.ucsb.cs156.spooler.controllers,UserInfoController,0,6,0,0,0,2,0,2,0,2
courses,edu.ucsb.cs156.spooler.controllers,JobsController,0,169,0,8,0,27,0,13,0,9
courses,edu.ucsb.cs156.spooler.controllers,UsersController,0,76,0,4,0,15,0,5,0,3
courses,edu.ucsb.cs156.spooler.services,GrantedAuthoritiesService,0,21,0,0,0,7,0,3,0,3
courses,edu.ucsb.cs156.spooler.services,SystemInfoServiceImpl,0,55,0,4,0,15,0,6,0,4
courses,edu.ucsb.cs156.spooler.services,CurrentUserService,0,10,0,2,0,2,0,3,0,2
courses,edu.ucsb.cs156.spooler.services,SystemInfoService,0,3,0,0,0,1,0,1,0,1
courses,edu.ucsb.cs156.spooler.errors,EntityNotFoundException,0,47,0,0,0,8,0,2,0,2
courses,edu.ucsb.cs156.spooler.services.jobs,JobContextFactory,0,13,0,0,0,4,0,2,0,2
courses,edu.ucsb.cs156.spooler.services.jobs,JobContext,6,42,1,3,0,6,1,3,0,2
courses,edu.ucsb.cs156.spooler.services.jobs,JobRateLimit,0,40,0,0,0,12,0,4,0,4
courses,edu.ucsb.cs156.spooler.services.jobs,JobService,0,73,0,2,0,20,0,6,0,5
